,price,bedrooms,bathrooms,sqft_lot,floors,waterfront,view,condition,sqft_above,sqft_basement,yr_built,zipcode,lat,long,sqft_living15
0,221900.0,3,1.0,5650,1.0,0.0,0.0,3,1180,0,1955,98178,47.5112,-122.257,1340
1,538000.0,3,2.25,7242,2.0,0.0,0.0,3,2170,400,1951,98125,47.721000000000004,-122.319,1690
2,180000.0,2,1.0,10000,1.0,0.0,0.0,3,770,0,1933,98028,47.7379,-122.23299999999999,2720
3,604000.0,4,3.0,5000,1.0,0.0,0.0,5,1050,910,1965,98136,47.5208,-122.39299999999999,1360
4,510000.0,3,2.0,8080,1.0,0.0,0.0,3,1680,0,1987,98074,47.6168,-122.045,1800
6,257500.0,3,2.25,6819,2.0,0.0,0.0,3,1715,0,1995,98003,47.3097,-122.32700000000001,2238
7,291850.0,3,1.5,9711,1.0,0.0,0.0,3,1060,0,1963,98198,47.4095,-122.315,1650
8,229500.0,3,1.0,7470,1.0,0.0,0.0,3,1050,730,1960,98146,47.5123,-122.337,1780
9,323000.0,3,2.5,6560,2.0,0.0,0.0,3,1890,0,2003,98038,47.3684,-122.031,2390
10,662500.0,3,2.5,9796,1.0,0.0,0.0,3,1860,1700,1965,98007,47.6007,-122.145,2210
11,468000.0,2,1.0,6000,1.0,0.0,0.0,4,860,300,1942,98115,47.69,-122.292,1330
12,310000.0,3,1.0,19901,1.5,0.0,0.0,4,1430,0,1927,98028,47.7558,-122.229,1780
13,400000.0,3,1.75,9680,1.0,0.0,0.0,4,1370,0,1977,98074,47.6127,-122.045,1370
14,530000.0,5,2.0,4850,1.5,0.0,0.0,3,1810,0,1900,98107,47.67,-122.39399999999999,1360
15,650000.0,4,3.0,5000,2.0,0.0,3.0,3,1980,970,1979,98126,47.5714,-122.375,2140
16,395000.0,3,2.0,14040,2.0,0.0,0.0,3,1890,0,1994,98019,47.7277,-121.962,1890
17,485000.0,4,1.0,4300,1.5,0.0,0.0,4,1600,0,1916,98103,47.6648,-122.34299999999999,1610
